X,Y,NAME,WEB_URL,RELIGION,ADDRESS,PLACE_OF_WORSHIP,IS_PLACE_OF_WORSHIP,MAR_ID,GIS_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATED,EDITED,OBJECTID
-8574550.78883034,4713693.98468135,SAINT CHARLES BAPTIST CHURCH,,CHRISTIAN,4410 GEORGIA AVENUE NORTHEAST,CHURCHES,1,,PlacesofWorshipPt_752,397702.875,141820.75,,{CB94B765-5CF6-43C9-8EA8-D97A77302411},,,131
-8574473.4423859,4713682.57689441,FIRST MYSTERY CHURCH OF GOD,,CHRISTIAN,909 WEBSTER ST NW,CHURCHES,1,,PlacesofWorshipPt_467,397763.12,141811.89,,{17277097-FEE7-42B2-ABD5-A3A0B6445828},,,132
-8574160.61037964,4713641.49219875,MOORISH SCIENCE TEMPLE-AMER,,ISLAMIC,732 WEBSTER ST NW,MOSQUES,1,,PlacesofWorshipPt_399,398006.73,141779.96,,{B6C3F5CC-EF2B-4B50-AE3C-8111EBA653CB},,,133
-8575603.2170304,4713624.81751262,ST GEORGE ANTIOCHIAN ORTHODOX,SAINTGEORGE.ORG,CHRISTIAN,4335 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_458,396883.29,141767.39,,{671967E3-E772-4EF1-818C-87402E637159},,,134
-8569273.57397623,4713622.47916952,OUR REDEEMER CHURCH,OURREDEEMERCHURCH.ORG,CHRISTIAN,1725 MICHIGAN AVE NE,CHURCHES,1,,PlacesofWorshipPt_251,401812.53,141765.17,,{B8793307-984B-49BC-A041-9D0E95E40D6B},,,135
-8573849.06663612,4713607.86295491,ST GABRIEL CATHOLIC CHURCH,SGDC.ORG,CHRISTIAN,26 GRANT CIR NW,CHURCHES,1,,PlacesofWorshipPt_457,398249.34,141753.82,,{6DC1FD7C-B825-4FC8-AA38-709DEA557F27},,,136
-8574521.93300006,4713602.21143209,First Hijra Foundation,FIRSTHIJRAHFOUNDATION.COM,CHRISTIAN,4324 GEORGIA AVENUE NW,CHURCHES,1,252611,PlacesofWorshipPt_694,397725.34,141749.57,,{1B1A8B8A-791F-4AE4-BA9F-42FA96201307},,,137
-8580262.11503893,4713591.96434858,RESTORATION CHURCH,RESTORATIONCHURCHDC.COM,CHRISTIAN,3950 CHESAPEAKE ST NW,CHURCHES,1,,PlacesofWorshipPt_422,393255.13,141744.17,,{0F4847FD-D67D-494A-9F89-EF21AEFE734F},,,138
-8570418.90559365,4713593.16483583,JOSEPHITE PASTORAL CTR,JOSEPHITEPASTORALCENTER.ORG,CHRISTIAN,1200 VARNUM ST NE,CHURCHES,1,,PlacesofWorshipPt_323,400920.6,141742.28,,{E6228318-4ABD-483D-90A5-F4130368893B},,,139
-8575691.96557211,4713539.45409262,OROMO EVANGELICAL LUTHERAN CHR,,CHRISTIAN,4300 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_403,396814.15,141701.21,,{1529FB0A-7F29-476F-8919-1917634FC4EE},,,140
-8575691.96557211,4713539.45409262,GRACE LUTHERAN CHURCH,,CHRISTIAN,4300 16TH ST NW,CHURCHES,1,,PlacesofWorshipPt_466,396814.15,141701.21,,{752CFBE0-0E40-4329-B59C-F27AE6A6E820},,,141
-8575715.87433921,4713530.60478563,GRACE EVANGELICAL LUTHERAN CHURCH,GRACEELCADC.ORG,CHRISTIAN,4300 16TH STREET NORTHWEST,CHURCHES,1,,PlacesofWorshipPt_729,396795.53125,141694.359375,,{93B248E7-A0CA-40E5-8A7C-03D2B7637A65},,,142
-8568825.76866336,4713530.82384914,Northeastern Presbyterian,http://www.nepc-dc.org/,CHRISTIAN,2112 VARNUM STREET NE,CHURCHES,1,51647,PlacesofWorshipPt_612,402161.28,141694.17,,{EF1C182E-8948-4319-9D93-ED815FD358A0},,,143
-8573835.62994168,4713467.71625218,PETWORTH UNITED METHODIST CHR,UMC.ORG,CHRISTIAN,32 GRANT CIR NW,CHURCHES,1,,PlacesofWorshipPt_486,398259.78,141645.12,,{3100E273-DE22-4414-9819-682DD96D1997},,,144
